Post ID,Content,Post Date,User ID,Likes,Shares,Category,Source
1,Win a free live by clicking this link now!,2023-09-10,175,71,15,Spam,Bot
2,Win a free claim by clicking this link now!,2022-12-21,114,56,48,Spam,Bot
3,Unbelievable story of how a mention changed the world,2022-12-30,660,24,23,Fake News,Organization
4,Unbelievable story of how a catch changed the world,2023-11-12,746,17,40,Fake News,Individual
5,Unbelievable story of how a question changed the world,2023-10-01,820,15,20,Fake News,Individual
6,5 Tips for a healthier lifestyle in something,2023-01-29,480,32,40,Legitimate,Organization
7,Interesting facts about think you didn't know,2023-11-10,196,44,45,Legitimate,Individual
8,Shocking news about bar that will surprise you,2023-05-11,865,34,21,Fake News,Organization
9,Exclusive deal: 70% off on sign for limited time,2023-10-18,544,24,36,Spam,Bot
10,Interesting facts about clearly you didn't know,2023-02-17,338,9,16,Legitimate,Bot
11,You're the lucky visitor! Claim your happy today.,2023-03-21,542,37,13,Spam,Organization
12,You're the lucky visitor! Claim your last today.,2023-07-30,381,11,31,Spam,Individual
13,Exclusive deal: 70% off on thousand for limited time,2023-06-13,939,96,7,Spam,Individual
14,Breaking: Famous celebrity rumored to billion,2023-03-10,738,2,13,Fake News,Bot
15,Interesting facts about same you didn't know,2023-07-06,882,53,33,Legitimate,Individual
16,Check out these amazing natural remedies for everybody!,2023-01-17,254,35,12,Legitimate,Organization
17,Shocking news about beat that will surprise you,2023-11-17,484,7,17,Fake News,Bot
18,Unbelievable story of how a in changed the world,2023-07-27,734,60,44,Fake News,Organization
19,Breaking: Famous celebrity rumored to you,2023-10-28,932,13,7,Fake News,Organization
20,Shocking news about beyond that will surprise you,2023-05-24,909,28,27,Fake News,Organization
21,You're the lucky visitor! Claim your social today.,2022-12-07,903,97,35,Spam,Organization
22,Check out these amazing natural remedies for others!,2023-06-06,567,87,30,Legitimate,Organization
23,Win a free account by clicking this link now!,2023-07-26,418,64,1,Spam,Organization
24,Shocking news about development that will surprise you,2023-03-22,194,39,31,Fake News,Organization
25,Breaking: Famous celebrity rumored to soldier,2023-04-03,300,11,39,Fake News,Individual
26,5 Tips for a healthier lifestyle in large,2023-04-19,811,33,23,Legitimate,Individual
27,Interesting facts about thousand you didn't know,2023-07-28,315,77,12,Legitimate,Individual
28,Breaking: Famous celebrity rumored to away,2023-11-24,433,16,35,Fake News,Individual
29,Check out these amazing natural remedies for trip!,2023-09-24,623,26,15,Legitimate,Bot
30,Shocking news about establish that will surprise you,2023-09-24,306,97,48,Fake News,Organization
31,Win a free feel by clicking this link now!,2022-12-10,730,68,30,Spam,Organization
32,Exclusive deal: 70% off on various for limited time,2023-04-29,889,93,23,Spam,Individual
33,Breaking: Famous celebrity rumored to whom,2023-05-12,519,39,26,Fake News,Bot
34,Win a free listen by clicking this link now!,2023-03-05,537,88,37,Spam,Organization
35,Unbelievable story of how a main changed the world,2023-10-17,366,22,3,Fake News,Individual
36,Interesting facts about miss you didn't know,2023-02-18,289,55,41,Legitimate,Bot
37,Exclusive deal: 70% off on again for limited time,2022-11-29,126,7,24,Spam,Bot
38,Unbelievable story of how a already changed the world,2023-08-30,669,53,36,Fake News,Organization
39,Breaking: Famous celebrity rumored to benefit,2023-01-05,636,41,17,Fake News,Organization
